timestamp_ms,MQ135,MQ3,MQ6,MQ7,MQ4,MQ8
19789,0.0,0.0,331.0,0.0,0.0,0.0
20334,0.0,0.0,327.0,0.0,0.0,0.0
20727,0.0,0.0,325.0,0.0,0.0,0.0
21240,0.0,0.0,323.0,0.0,0.0,0.0
21786,0.0,0.0,329.0,0.0,0.0,0.0
22320,0.0,0.0,329.0,0.0,0.0,0.0
22748,0.0,0.0,329.0,0.0,0.0,0.0
23251,0.0,0.0,322.0,0.0,0.0,0.0
23793,0.0,0.0,324.0,0.0,0.0,0.0
24314,0.0,0.0,324.0,0.0,0.0,0.0
24737,0.0,0.0,327.0,0.0,0.0,0.0
25234,0.0,0.0,332.0,0.0,0.0,0.0
25787,0.0,0.0,326.0,0.0,0.0,0.0
26289,0.0,0.0,327.0,0.0,0.0,0.0
26833,0.0,0.0,322.0,0.0,0.0,0.0
27321,0.0,0.0,326.0,0.0,0.0,0.0
27726,0.0,0.0,325.0,0.0,0.0,0.0
28292,0.0,0.0,325.0,0.0,0.0,0.0
28795,0.0,0.0,321.0,0.0,0.0,0.0
29326,0.0,0.0,318.0,0.0,0.0,0.0
29794,0.0,0.0,327.0,0.0,0.0,0.0
30328,0.0,0.0,327.0,0.0,0.0,0.0
30750,0.0,0.0,324.0,0.0,0.0,0.0
31292,0.0,0.0,318.0,0.0,0.0,0.0
31792,0.0,0.0,322.0,0.0,0.0,0.0
32308,0.0,0.0,320.0,0.0,0.0,0.0
32830,0.0,0.0,326.0,0.0,0.0,0.0
33235,0.0,0.0,321.0,0.0,0.0,0.0
33787,0.0,0.0,320.0,0.0,0.0,0.0
34291,0.0,0.0,322.0,0.0,0.0,0.0
34834,0.0,0.0,322.0,0.0,0.0,0.0
35231,0.0,0.0,322.0,0.0,0.0,0.0
35780,0.0,0.0,326.0,0.0,0.0,0.0
36289,0.0,0.0,326.0,0.0,0.0,0.0
36790,0.0,0.0,326.0,0.0,0.0,0.0
37319,0.0,0.0,322.0,0.0,0.0,0.0
37839,0.0,0.0,322.0,0.0,0.0,0.0
38350,0.0,0.0,326.0,0.0,0.0,0.0
38735,0.0,0.0,322.0,0.0,0.0,0.0
39293,0.0,0.0,335.0,0.0,0.0,0.0
39826,0.0,0.0,328.0,0.0,0.0,0.0
40331,0.0,0.0,326.0,0.0,0.0,0.0
40860,0.0,0.0,309.0,0.0,0.0,0.0
41290,0.0,0.0,321.0,0.0,0.0,0.0
41779,0.0,0.0,326.0,0.0,0.0,0.0
42281,0.0,0.0,322.0,0.0,0.0,0.0
42829,0.0,0.0,325.0,0.0,0.0,0.0
43350,0.0,0.0,320.0,0.0,0.0,0.0
43790,0.0,0.0,329.0,0.0,0.0,0.0
44288,0.0,0.0,338.0,0.0,0.0,0.0
44825,319.0,186.0,309.0,0.0,0.0,0.0
45324,0.0,0.0,0.0,0.0,0.0,0.0
45831,0.0,0.0,0.0,0.0,0.0,0.0
46380,0.0,0.0,0.0,0.0,0.0,0.0
46771,0.0,0.0,0.0,0.0,0.0,0.0
47302,0.0,0.0,0.0,0.0,0.0,0.0
47878,0.0,0.0,0.0,0.0,0.0,0.0
48284,0.0,0.0,0.0,0.0,0.0,0.0
48794,0.0,0.0,133.0,0.0,0.0,0.0
49337,0.0,0.0,165.0,0.0,0.0,0.0
49872,0.0,0.0,185.0,0.0,0.0,0.0
50252,0.0,0.0,208.0,0.0,0.0,0.0
50790,0.0,0.0,226.0,0.0,0.0,0.0
51298,0.0,0.0,246.0,0.0,0.0,0.0
51836,0.0,0.0,277.0,0.0,0.0,0.0
52325,0.0,0.0,297.0,0.0,0.0,0.0
52868,0.0,0.0,313.0,0.0,0.0,0.0
53266,0.0,0.0,319.0,0.0,0.0,0.0
53839,0.0,0.0,337.0,0.0,0.0,0.0
54340,0.0,0.0,347.0,0.0,0.0,0.0
54886,0.0,0.0,357.0,0.0,0.0,0.0
55394,0.0,0.0,394.0,0.0,0.0,0.0
55802,0.0,156.0,364.0,0.0,0.0,0.0
56315,107.0,147.0,347.0,0.0,0.0,0.0
56821,0.0,163.0,374.0,0.0,0.0,0.0
57300,0.0,175.0,368.0,0.0,0.0,0.0
57828,0.0,174.0,377.0,0.0,0.0,0.0
58357,0.0,176.0,373.0,0.0,0.0,0.0
58782,0.0,172.0,376.0,0.0,0.0,0.0
59319,0.0,176.0,373.0,0.0,0.0,0.0
59844,0.0,167.0,369.0,0.0,0.0,0.0
60378,0.0,176.0,378.0,0.0,0.0,0.0
